measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Denmark,Female,Age-standardized,Ischemic stroke,Rate,2019,19.90839363,22.71973123,16.34857948
Deaths,Denmark,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,11.32559905,12.7417864,10.04601737
Deaths,Denmark,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,7.842349693,8.910545607,6.684115031
Deaths,Denmark,Male,Age-standardized,Hypertensive heart disease,Rate,2019,2.329863291,3.179662413,1.93922718
Deaths,Denmark,Female,Age-standardized,Hypertensive heart disease,Rate,2019,2.141029256,2.687358715,1.623544332
Deaths,Russian Federation,Male,Age-standardized,Hypertensive heart disease,Rate,2019,8.775909404,10.86543725,5.14544107
Deaths,Russian Federation,Female,Age-standardized,Hypertensive heart disease,Rate,2019,7.057569743,8.551087374,4.422276907
Deaths,Mongolia,Male,Age-standardized,Ischemic heart disease,Rate,2009,455.539949,516.2427889,394.762472
Deaths,Mongolia,Female,Age-standardized,Ischemic heart disease,Rate,2009,303.8328161,342.8573886,266.0510641
Deaths,Dominica,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,31.47075422,39.19092535,25.0751855
Deaths,Dominica,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,20.56412661,25.5593364,16.4182135
Deaths,Dominica,Male,Age-standardized,Hypertensive heart disease,Rate,2019,47.81641647,61.39538449,36.43526407
Deaths,Dominica,Female,Age-standardized,Hypertensive heart disease,Rate,2019,44.04309899,55.14857753,35.18300281
Deaths,Switzerland,Male,Age-standardized,Ischemic heart disease,Rate,2019,73.77112183,80.5154968,66.29024381
Deaths,Switzerland,Female,Age-standardized,Ischemic heart disease,Rate,2019,41.28373806,48.66855544,33.04225026
Deaths,Switzerland,Male,Age-standardized,Ischemic stroke,Rate,2019,15.3566018,17.59181477,13.14144326
Deaths,Switzerland,Female,Age-standardized,Ischemic stroke,Rate,2019,13.83604086,16.57013051,10.85982447
Deaths,Switzerland,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,5.46348032,6.259828478,4.73186553
Deaths,Switzerland,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,4.603579777,5.569332982,3.73410381
Deaths,Switzerland,Male,Age-standardized,Hypertensive heart disease,Rate,2019,7.628794042,9.055391004,3.409161729
Deaths,Switzerland,Female,Age-standardized,Hypertensive heart disease,Rate,2019,9.576592965,11.92927124,3.163166044
Deaths,Mongolia,Male,Age-standardized,Ischemic stroke,Rate,2009,35.84885671,45.28350668,29.25681961
Deaths,Mongolia,Female,Age-standardized,Ischemic stroke,Rate,2009,28.14843695,33.33476196,23.80912766
Deaths,Mongolia,Male,Age-standardized,Intracerebral hemorrhage,Rate,2009,270.6841183,337.0183217,232.3161276
Deaths,Mongolia,Female,Age-standardized,Intracerebral hemorrhage,Rate,2009,203.9564872,239.3451951,174.4622392
Deaths,Mongolia,Male,Age-standardized,Hypertensive heart disease,Rate,2009,14.92805308,18.22611079,11.75541487
Deaths,Mongolia,Female,Age-standardized,Hypertensive heart disease,Rate,2009,12.52876601,15.38426399,9.692530911
Deaths,Belarus,Male,Age-standardized,All causes,Rate,2009,1404.02002,1417.778231,1389.939558
Deaths,Belarus,Female,Age-standardized,All causes,Rate,2009,674.2417599,684.1102277,664.0753161
Deaths,El Salvador,Male,Age-standardized,All causes,Rate,2019,839.9453278,1056.444935,656.6281956
Deaths,El Salvador,Female,Age-standardized,All causes,Rate,2019,486.8219751,609.7437086,384.6828827
Deaths,Dominican Republic,Male,Age-standardized,All causes,Rate,2019,922.9439687,1138.302904,744.5996353
Deaths,Dominican Republic,Female,Age-standardized,All causes,Rate,2019,616.9391267,748.0037358,514.9955618
Deaths,Czechia,Male,Age-standardized,All causes,Rate,2009,807.6355217,818.1868451,796.7078218
Deaths,Czechia,Female,Age-standardized,All causes,Rate,2009,496.608714,505.6416022,487.3200488
Deaths,Czechia,Male,Age-standardized,Ischemic heart disease,Rate,2009,237.3461693,245.9366764,221.2686666
Deaths,Czechia,Female,Age-standardized,Ischemic heart disease,Rate,2009,147.2165267,156.0169426,130.6531439
Deaths,Czechia,Male,Age-standardized,Ischemic stroke,Rate,2009,61.08790014,64.88665872,55.61077495
Deaths,Czechia,Female,Age-standardized,Ischemic stroke,Rate,2009,54.80507781,58.72806741,48.09155737
Deaths,Czechia,Male,Age-standardized,Intracerebral hemorrhage,Rate,2009,14.52521012,15.64280845,13.43477601
Deaths,Czechia,Female,Age-standardized,Intracerebral hemorrhage,Rate,2009,9.23854595,9.937127449,8.394993438
Deaths,Switzerland,Male,Age-standardized,All causes,Rate,2019,426.6487696,437.6881508,416.4247283
Deaths,Switzerland,Female,Age-standardized,All causes,Rate,2019,293.2221708,300.4824113,286.5208602
Deaths,Costa Rica,Male,Age-standardized,Ischemic heart disease,Rate,2019,94.17580807,118.7670012,74.05956686
Deaths,Costa Rica,Female,Age-standardized,Ischemic heart disease,Rate,2019,52.17447623,64.51554056,40.66990444
Deaths,Costa Rica,Male,Age-standardized,Ischemic stroke,Rate,2019,17.23138604,21.88870226,13.00819116
Deaths,Costa Rica,Female,Age-standardized,Ischemic stroke,Rate,2019,15.42555284,19.41592825,11.29575931
Deaths,Costa Rica,Male,Age-standardized,All causes,Rate,2019,596.5983784,742.7179939,476.4765945
Deaths,Costa Rica,Female,Age-standardized,All causes,Rate,2019,377.7031147,463.3595079,306.8763133
Deaths,Costa Rica,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,10.8626092,13.92073692,8.352562391
Deaths,Costa Rica,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,6.947866346,8.705992773,5.336585415
Deaths,Costa Rica,Male,Age-standardized,Hypertensive heart disease,Rate,2019,10.82973584,14.42931072,8.093501124
Deaths,Costa Rica,Female,Age-standardized,Hypertensive heart disease,Rate,2019,10.43456037,13.36981558,7.158012467
Deaths,Dominica,Male,Age-standardized,All causes,Rate,2019,1015.950461,1204.683746,862.4087865
Deaths,Dominica,Female,Age-standardized,All causes,Rate,2019,714.3315944,840.5909678,620.1961673
Deaths,Philippines,Male,Age-standardized,All causes,Rate,2019,1030.088592,1262.316902,830.9205883
Deaths,Philippines,Female,Age-standardized,All causes,Rate,2019,729.8475177,878.6544723,602.4063074
Deaths,South Sudan,Male,Age-standardized,Intracerebral hemorrhage,Rate,2009,64.97066343,87.96872572,46.03331505
Deaths,South Sudan,Female,Age-standardized,Intracerebral hemorrhage,Rate,2009,57.27930578,79.98670083,36.89563899
Deaths,South Sudan,Male,Age-standardized,Hypertensive heart disease,Rate,2009,25.61583085,40.09958771,13.36399447
Deaths,South Sudan,Female,Age-standardized,Hypertensive heart disease,Rate,2009,42.08813404,85.1216756,22.1246846
Deaths,Burundi,Male,Age-standardized,All causes,Rate,2019,1454.864757,1762.293635,1218.523645
Deaths,Burundi,Female,Age-standardized,All causes,Rate,2019,1117.914733,1352.088934,932.1202778
Deaths,American Samoa,Male,Age-standardized,All causes,Rate,2019,1022.168427,1141.144458,917.0824082
Deaths,American Samoa,Female,Age-standardized,All causes,Rate,2019,760.8274165,902.2001835,649.5915335
Deaths,Philippines,Male,Age-standardized,Ischemic heart disease,Rate,2019,177.9477849,221.1409163,137.3775856
Deaths,Philippines,Female,Age-standardized,Ischemic heart disease,Rate,2019,122.6789809,149.466352,98.83633655
Deaths,Philippines,Male,Age-standardized,Ischemic stroke,Rate,2019,44.72221113,55.40175494,34.77701431
Deaths,Philippines,Female,Age-standardized,Ischemic stroke,Rate,2019,41.68220453,50.15662943,33.75009395
Deaths,Philippines,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,72.06818906,91.52513849,54.16774342
Deaths,Philippines,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,48.72662317,61.02890124,38.10192384
Deaths,Philippines,Male,Age-standardized,Hypertensive heart disease,Rate,2019,39.6841986,50.34771249,27.27215684
Deaths,Philippines,Female,Age-standardized,Hypertensive heart disease,Rate,2019,33.03454824,40.99608788,25.30872297
Deaths,Dominica,Male,Age-standardized,Ischemic heart disease,Rate,2019,93.4961603,111.9030002,76.01122589
Deaths,Dominica,Female,Age-standardized,Ischemic heart disease,Rate,2019,82.84729601,98.15853005,69.44087116
Deaths,Dominica,Male,Age-standardized,Ischemic stroke,Rate,2019,37.21592804,46.16726315,29.80428921
Deaths,Dominica,Female,Age-standardized,Ischemic stroke,Rate,2019,47.4725028,56.76610332,39.04047727
Deaths,Iraq,Male,Age-standardized,All causes,Rate,2019,966.0923416,1107.827347,803.9933016
Deaths,Iraq,Female,Age-standardized,All causes,Rate,2019,684.1386571,795.453017,585.8794937
Deaths,Iran (Islamic Republic of),Male,Age-standardized,All causes,Rate,2019,656.6285442,682.2249027,634.331042
Deaths,Iran (Islamic Republic of),Female,Age-standardized,All causes,Rate,2019,533.4189816,550.6172792,516.4862453
Deaths,Hungary,Male,Age-standardized,Ischemic heart disease,Rate,2019,221.5466723,258.4819063,188.3502528
Deaths,Hungary,Female,Age-standardized,Ischemic heart disease,Rate,2019,141.3079484,165.3882138,116.7629286
Deaths,Hungary,Male,Age-standardized,Ischemic stroke,Rate,2019,53.3100691,62.97338409,44.3344726
Deaths,Hungary,Female,Age-standardized,Ischemic stroke,Rate,2019,41.9614778,49.77575501,34.41889586
Deaths,Hungary,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,16.79926267,20.37573002,13.74216054
Deaths,Hungary,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,9.890247803,11.7463154,8.067051064
Deaths,Hungary,Male,Age-standardized,Hypertensive heart disease,Rate,2019,29.46835191,36.00694254,19.6341253
Deaths,Hungary,Female,Age-standardized,Hypertensive heart disease,Rate,2019,25.98809871,31.98668748,15.92046798
Deaths,Zambia,Male,Age-standardized,Ischemic stroke,Rate,2019,59.22805962,87.86038222,40.81249838
Deaths,Zambia,Female,Age-standardized,Ischemic stroke,Rate,2019,64.58095609,82.22583878,50.78433851
Deaths,Zambia,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,118.6941298,146.9628975,88.40987958
Deaths,Zambia,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,75.25343465,98.16850118,55.23743951
Deaths,Armenia,Male,Age-standardized,All causes,Rate,2019,897.0988094,1021.06917,784.2894529
Deaths,Armenia,Female,Age-standardized,All causes,Rate,2019,591.2206417,669.2679197,519.8686053
Deaths,El Salvador,Male,Age-standardized,Ischemic heart disease,Rate,2019,122.1003837,153.5963187,94.59650803
Deaths,El Salvador,Female,Age-standardized,Ischemic heart disease,Rate,2019,84.42582253,106.9124915,65.57525102
Deaths,South Sudan,Male,Age-standardized,All causes,Rate,2009,1560.428732,1850.07253,1285.380981
Deaths,South Sudan,Female,Age-standardized,All causes,Rate,2009,1212.128459,1429.903063,1002.451107
Deaths,Zambia,Male,Age-standardized,Hypertensive heart disease,Rate,2019,48.01140822,71.03711766,27.31400915
Deaths,Zambia,Female,Age-standardized,Hypertensive heart disease,Rate,2019,64.68976981,89.30970019,39.34999842
Deaths,Argentina,Male,Age-standardized,All causes,Rate,2019,814.7362096,834.0449359,797.3593919
Deaths,Argentina,Female,Age-standardized,All causes,Rate,2019,519.498883,531.6501952,508.590197
Deaths,Ghana,Male,Age-standardized,Hypertensive heart disease,Rate,2019,10.17837521,14.300469,5.341921521
Deaths,Ghana,Female,Age-standardized,Hypertensive heart disease,Rate,2019,26.14670018,34.45752651,14.82950934
Deaths,Sudan,Male,Age-standardized,Ischemic heart disease,Rate,2019,298.4506454,385.8403983,220.3235189
Deaths,Sudan,Female,Age-standardized,Ischemic heart disease,Rate,2019,240.4286698,301.8470392,190.5810919
Deaths,Sudan,Male,Age-standardized,Ischemic stroke,Rate,2019,84.92059164,142.4088966,58.57235799
Deaths,Sudan,Female,Age-standardized,Ischemic stroke,Rate,2019,96.51402834,128.2666615,68.41442265
Deaths,Montenegro,Male,Age-standardized,All causes,Rate,2009,963.5387245,1006.260167,919.2090246
Deaths,Montenegro,Female,Age-standardized,All causes,Rate,2009,698.5113144,726.0598239,671.6931341
Deaths,Iran (Islamic Republic of),Male,Age-standardized,Ischemic heart disease,Rate,2019,177.1815748,192.5144576,161.5339876
Deaths,Iran (Islamic Republic of),Female,Age-standardized,Ischemic heart disease,Rate,2019,150.9251199,164.0019842,133.8318395
Deaths,Iran (Islamic Republic of),Male,Age-standardized,Ischemic stroke,Rate,2019,52.63458617,57.21044827,45.9929145
Deaths,Iran (Islamic Republic of),Female,Age-standardized,Ischemic stroke,Rate,2019,57.46077383,62.86749389,49.33402726
Deaths,Iran (Islamic Republic of),Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,9.988105391,10.79358912,8.96880822
Deaths,Iran (Islamic Republic of),Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,8.597274086,9.367469145,7.648586484
Deaths,Iran (Islamic Republic of),Male,Age-standardized,Hypertensive heart disease,Rate,2019,28.39918123,31.13391244,23.23877432
Deaths,Iran (Islamic Republic of),Female,Age-standardized,Hypertensive heart disease,Rate,2019,32.26380997,36.39234103,25.06869656
Deaths,Argentina,Male,Age-standardized,Ischemic heart disease,Rate,2019,107.8310024,114.182004,100.1037486
Deaths,Argentina,Female,Age-standardized,Ischemic heart disease,Rate,2019,61.3334247,67.12528263,54.04098036
Deaths,Argentina,Male,Age-standardized,Ischemic stroke,Rate,2019,26.07686623,29.10727698,22.78085421
Deaths,Argentina,Female,Age-standardized,Ischemic stroke,Rate,2019,20.03153236,22.64428724,16.81777215
Deaths,Argentina,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,25.7256171,28.43972864,23.24318466
Deaths,Argentina,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,15.09787047,16.89455507,13.27795653
Deaths,Germany,Male,Age-standardized,All causes,Rate,2019,564.49541,575.0158092,555.5464737
Deaths,Germany,Female,Age-standardized,All causes,Rate,2019,377.3732533,384.1995425,371.5836329
Deaths,Georgia,Male,Age-standardized,Ischemic stroke,Rate,2019,91.71285208,107.691864,76.86644534
Deaths,Georgia,Female,Age-standardized,Ischemic stroke,Rate,2019,60.44259654,71.29310621,49.59084289
Deaths,Georgia,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,97.7566332,116.1199596,81.89908781
Deaths,Georgia,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,54.7467895,64.36915792,45.03766638
Deaths,Georgia,Male,Age-standardized,Hypertensive heart disease,Rate,2019,67.83383546,82.25616845,28.48106356
Deaths,Georgia,Female,Age-standardized,Hypertensive heart disease,Rate,2019,49.88489328,61.14776886,20.03763754
Deaths,Guam,Male,Age-standardized,Ischemic stroke,Rate,2009,25.72151245,30.31159505,21.80516361
Deaths,Guam,Female,Age-standardized,Ischemic stroke,Rate,2009,16.754207,19.71421023,13.83080207
Deaths,Guam,Male,Age-standardized,Intracerebral hemorrhage,Rate,2009,30.25157767,34.40580339,26.25916013
Deaths,Guam,Female,Age-standardized,Intracerebral hemorrhage,Rate,2009,19.11510266,22.21711971,16.30563334
Deaths,Guam,Male,Age-standardized,Hypertensive heart disease,Rate,2009,21.00219356,26.28029112,17.30868925
Deaths,Guam,Female,Age-standardized,Hypertensive heart disease,Rate,2009,11.13062073,14.33049925,9.098937509
Deaths,Brazil,Male,Age-standardized,Ischemic stroke,Rate,2009,50.31779999,53.41412212,45.65265317
Deaths,Brazil,Female,Age-standardized,Ischemic stroke,Rate,2009,35.5172722,38.17104876,31.04153173
Deaths,Brazil,Male,Age-standardized,Intracerebral hemorrhage,Rate,2009,28.96104899,30.31729917,27.38506975
Deaths,Brazil,Female,Age-standardized,Intracerebral hemorrhage,Rate,2009,20.36829653,21.32847954,18.90191956
Deaths,Sudan,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,29.02620615,43.95248678,18.30846487
Deaths,Sudan,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,32.12559741,44.98850096,21.07086163
Deaths,Sudan,Male,Age-standardized,Hypertensive heart disease,Rate,2019,50.00308839,79.7267541,15.64844728
Deaths,Sudan,Female,Age-standardized,Hypertensive heart disease,Rate,2019,44.89230521,72.43811123,18.6066296
Deaths,Argentina,Male,Age-standardized,Hypertensive heart disease,Rate,2019,16.03847678,20.79730474,13.79723513
Deaths,Argentina,Female,Age-standardized,Hypertensive heart disease,Rate,2019,13.60789793,16.84456776,10.67420832
Deaths,China,Male,Age-standardized,Ischemic stroke,Rate,2019,83.5491553,97.42901705,69.44846426
Deaths,China,Female,Age-standardized,Ischemic stroke,Rate,2019,48.25773916,58.11843104,38.66402764
Deaths,China,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,80.35616788,95.37267653,66.32214594
Deaths,China,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,45.25917238,54.361998,36.86481539
Deaths,China,Male,Age-standardized,Hypertensive heart disease,Rate,2019,25.56860481,30.75046595,15.18845795
Deaths,China,Female,Age-standardized,Hypertensive heart disease,Rate,2019,17.59118665,21.53789595,10.8483541
Deaths,Montenegro,Male,Age-standardized,Ischemic heart disease,Rate,2009,228.7691623,245.6253924,209.6801133
Deaths,Montenegro,Female,Age-standardized,Ischemic heart disease,Rate,2009,139.1670295,151.1576076,123.9575832
Deaths,Montenegro,Male,Age-standardized,Ischemic stroke,Rate,2009,52.06646737,58.47617807,45.52741125
Deaths,Montenegro,Female,Age-standardized,Ischemic stroke,Rate,2009,48.51457769,54.62485955,42.1896532
Deaths,Montenegro,Male,Age-standardized,Intracerebral hemorrhage,Rate,2009,157.7919849,171.0006334,143.6024123
Deaths,Montenegro,Female,Age-standardized,Intracerebral hemorrhage,Rate,2009,189.0043837,204.2400885,168.3833695
Deaths,Montenegro,Male,Age-standardized,Hypertensive heart disease,Rate,2009,5.674268442,6.692874694,4.452279624
Deaths,Montenegro,Female,Age-standardized,Hypertensive heart disease,Rate,2009,5.925909057,7.062341704,4.705591915
Deaths,Tokelau,Male,Age-standardized,All causes,Rate,2019,803.9088343,964.6853076,696.4467078
Deaths,Tokelau,Female,Age-standardized,All causes,Rate,2019,976.6769924,1206.889266,788.7405136
Deaths,Honduras,Male,Age-standardized,All causes,Rate,2019,977.596366,1099.281596,916.4622524
Deaths,Honduras,Female,Age-standardized,All causes,Rate,2019,830.5265858,976.4434456,744.9077196
Deaths,Benin,Male,Age-standardized,All causes,Rate,2009,1595.093374,1826.219976,1402.170252
Deaths,Benin,Female,Age-standardized,All causes,Rate,2009,1194.798868,1349.400931,1068.276013
Deaths,Honduras,Male,Age-standardized,Ischemic heart disease,Rate,2019,180.4349995,223.7840336,140.6760903
Deaths,Honduras,Female,Age-standardized,Ischemic heart disease,Rate,2019,131.9557911,161.6033687,107.5244872
Deaths,Honduras,Male,Age-standardized,Ischemic stroke,Rate,2019,57.13950692,78.96007705,43.56940696
Deaths,Honduras,Female,Age-standardized,Ischemic stroke,Rate,2019,53.08195948,68.60057641,41.72512116
Deaths,Honduras,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,39.77728586,56.34154205,27.89025366
Deaths,Honduras,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,39.58820027,54.83970973,28.31606524
Deaths,Fiji,Male,Age-standardized,Ischemic heart disease,Rate,2009,359.2081478,379.553147,338.3953117
Deaths,Fiji,Female,Age-standardized,Ischemic heart disease,Rate,2009,183.7796674,198.2387146,168.5244752
Deaths,Fiji,Male,Age-standardized,Ischemic stroke,Rate,2009,48.35813814,54.17830781,43.0668409
Deaths,Fiji,Female,Age-standardized,Ischemic stroke,Rate,2009,42.20378361,47.12920913,36.94666769
Deaths,Fiji,Male,Age-standardized,Intracerebral hemorrhage,Rate,2009,56.93317495,63.11223145,51.69087347
Deaths,Fiji,Female,Age-standardized,Intracerebral hemorrhage,Rate,2009,52.84481657,58.60863443,47.57640221
Deaths,Guinea,Male,Age-standardized,All causes,Rate,2019,1486.362665,1746.879063,1248.69151
Deaths,Guinea,Female,Age-standardized,All causes,Rate,2019,1261.440813,1491.647399,1058.556361
Deaths,Saint Vincent and the Grenadines,Male,Age-standardized,Ischemic heart disease,Rate,2009,140.6142839,150.3753415,128.913494
Deaths,Saint Vincent and the Grenadines,Female,Age-standardized,Ischemic heart disease,Rate,2009,124.7817429,133.9820192,112.6344646
Deaths,Saint Vincent and the Grenadines,Male,Age-standardized,Ischemic stroke,Rate,2009,41.37173487,45.88233249,36.91716178
Deaths,Saint Vincent and the Grenadines,Female,Age-standardized,Ischemic stroke,Rate,2009,56.63813398,61.68780223,50.27521247
Deaths,Saint Vincent and the Grenadines,Male,Age-standardized,Intracerebral hemorrhage,Rate,2009,41.04288988,45.09790803,36.90705106
Deaths,Saint Vincent and the Grenadines,Female,Age-standardized,Intracerebral hemorrhage,Rate,2009,28.85967051,31.35331548,26.09386464
Deaths,Saint Vincent and the Grenadines,Male,Age-standardized,Hypertensive heart disease,Rate,2009,31.88214252,37.20567853,25.64213527
Deaths,Saint Vincent and the Grenadines,Female,Age-standardized,Hypertensive heart disease,Rate,2009,33.45026716,39.90850792,26.81446247
Deaths,Guinea,Male,Age-standardized,Ischemic heart disease,Rate,2019,128.1854742,159.7517862,101.280421
Deaths,Guinea,Female,Age-standardized,Ischemic heart disease,Rate,2019,119.4225371,150.6097846,95.5089468
Deaths,Guinea,Male,Age-standardized,Ischemic stroke,Rate,2019,35.70383328,46.53327667,26.04397172
Deaths,Guinea,Female,Age-standardized,Ischemic stroke,Rate,2019,40.94023929,52.78315661,31.71103334
Deaths,Guinea,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,76.57215253,96.08038502,59.01344343
Deaths,Guinea,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,76.57708624,94.93520716,59.33424682
Deaths,Guinea,Male,Age-standardized,Hypertensive heart disease,Rate,2019,13.97386325,21.2857448,7.479517458
Deaths,Guinea,Female,Age-standardized,Hypertensive heart disease,Rate,2019,34.98443574,48.61661305,16.25120109
Deaths,Burundi,Male,Age-standardized,Ischemic heart disease,Rate,2019,127.6507991,164.4319147,93.53712169
Deaths,Burundi,Female,Age-standardized,Ischemic heart disease,Rate,2019,97.93168023,132.0221737,71.40730749
Deaths,Burundi,Male,Age-standardized,Ischemic stroke,Rate,2019,42.40965758,60.66835737,29.79851783
Deaths,Burundi,Female,Age-standardized,Ischemic stroke,Rate,2019,43.03230528,57.48640798,31.83537908
Deaths,Burundi,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,83.6969042,114.2936348,58.53493004
Deaths,Burundi,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,72.87740558,104.2447959,48.84623391
Deaths,Burundi,Male,Age-standardized,Hypertensive heart disease,Rate,2019,26.32421057,59.66595179,9.848011585
Deaths,Burundi,Female,Age-standardized,Hypertensive heart disease,Rate,2019,43.4652452,78.08595794,14.92232287
Deaths,Sri Lanka,Male,Age-standardized,All causes,Rate,2019,768.2461961,970.1780326,600.9735217
Deaths,Sri Lanka,Female,Age-standardized,All causes,Rate,2019,501.3329666,625.9163469,397.7399344
Deaths,Armenia,Male,Age-standardized,Ischemic heart disease,Rate,2019,292.9073728,338.3918664,249.5068322
Deaths,Armenia,Female,Age-standardized,Ischemic heart disease,Rate,2019,193.9553799,223.3236545,162.8827056
Deaths,Armenia,Male,Age-standardized,Ischemic stroke,Rate,2019,47.00170438,54.26170307,39.47813555
Deaths,Armenia,Female,Age-standardized,Ischemic stroke,Rate,2019,43.30008008,50.75728906,35.74174405
Deaths,Armenia,Male,Age-standardized,Intracerebral hemorrhage,Rate,2019,20.54926311,24.27086715,17.0327084
Deaths,Armenia,Female,Age-standardized,Intracerebral hemorrhage,Rate,2019,16.0453956,18.98689668,13.27121964
Deaths,Armenia,Male,Age-standardized,Hypertensive heart disease,Rate,2019,17.4477397,21.10873945,8.866991758
Deaths,Armenia,Female,Age-standardized,Hypertensive heart disease,Rate,2019,16.9996728,21.4574962,4.715309172
Deaths,Zambia,Male,Age-standardized,All causes,Rate,2019,1585.867863,1805.742197,1392.646772
Deaths,Zambia,Female,Age-standardized,All causes,Rate,2019,1119.651623,1329.673968,978.2291432
Deaths,Australia,Male,Age-standardized,All causes,Rate,2009,520.4735818,524.6776599,516.4488768
Deaths,Australia,Female,Age-standardized,All causes,Rate,2009,348.1212505,351.3231115,344.9028543
Deaths,Marshall Islands,Male,Age-standardized,All causes,Rate,2009,1533.875786,1718.089736,1347.771325
Deaths,Marshall Islands,Female,Age-standardized,All causes,Rate,2009,1381.009128,1543.94193,1207.385727
Deaths,Taiwan (Province of China),Male,Age-standardized,All causes,Rate,2009,636.7480667,642.5937263,630.2886282
Deaths,Taiwan (Province of China),Female,Age-standardized,All causes,Rate,2009,398.9833896,404.3478781,393.5254712
Deaths,Zambia,Male,Age-standardized,Ischemic heart disease,Rate,2019,112.3259498,137.6173329,90.15072879
Deaths,Zambia,Female,Age-standardized,Ischemic heart disease,Rate,2019,70.86044342,90.16769866,54.61088259
Deaths,Guatemala,Male,Age-standardized,Ischemic heart disease,Rate,2019,127.6008775,149.6007307,106.1613484
Deaths,Guatemala,Female,Age-standardized,Ischemic heart disease,Rate,2019,93.52587738,110.5047594,75.99060373
Deaths,Guatemala,Male,Age-standardized,Ischemic stroke,Rate,2019,26.36499731,31.54787432,21.57769062
Deaths,Guatemala,Female,Age-standardized,Ischemic stroke,Rate,2019,20.66535429,25.43717578,16.46784521
